Var1,Var2,Var3,Var4,Var5
9,18,0.120370511355037,-0.148057139663092,0.981626213683656
9,19,0.119224286720996,-0.201214103016246,0.972264600920571
9,20,0.110449436431986,-0.248405528652542,0.962338617809089
9,21,0.107798630219878,-0.298836497594689,0.948196289292495
9,22,0.107729189569126,-0.352777733839453,0.929484960729263
9,23,0.108358228308991,-0.407489757507496,0.906758287463764
9,24,0.108216717953411,-0.460958494431753,0.880798733177225
9,25,0.115034824420131,-0.512774890955033,0.850781346984455
9,26,0.115398087780552,-0.563172128264712,0.818242283973633
9,27,0.113253109603734,-0.610232613815302,0.784085384509384
9,28,0.106996099758147,-0.657394429706709,0.745911789977297
9,29,0.104666479306935,-0.717411365356679,0.688742231147877
9,30,0.100063747852746,-0.777273615819403,0.621154548012564
9,31,0.0836398949749905,-0.835631651657606,0.542884988479654
10,0,0.0642910354858617,0.780070168236444,0.62238026590158
10,1,0.0634180024112102,0.735243438410143,0.674829788350368
10,2,0.0508267644294831,0.675377942643063,0.735718203260497
10,3,0.0632005550963844,0.621654121726354,0.780738011612182
10,4,0.0501471935162975,0.574905468789409,0.816681676627111
10,5,0.0472102357445637,0.525291066145566,0.849611964056885
10,6,0.0576475052612532,0.472038224401606,0.879691241198258
10,7,0.0643415510637057,0.416512762521926,0.906850199020252
10,8,0.0629017812858169,0.361055191123301,0.930420611806288
10,9,0.0494792503574851,0.310828210918241,0.949177342271415
